emp_title,emp_length,state,homeownership,annual_income,verified_income,debt_to_income,delinq_2y,months_since_last_delinq,total_credit_lines,account_never_delinq_percent,loan_purpose,application_type,loan_amount,term,interest_rate,installment,grade,loan_status
underwriter,5.0,NJ,MORTGAGE,100000.0,Not Verified,26.53,0,,64,100.0,debt_consolidation,individual,21050,60,13.59,485.34,C,Current
,,TX,MORTGAGE,40280.0,Verified,7.27,0,,10,90.0,home_improvement,individual,3500,36,6.71,107.61,A,Current
program analyst ,10.0,VA,RENT,82000.0,Not Verified,17.31,0,67.0,26,88.0,credit_card,individual,8000,36,7.96,250.55,A,Current
surveyor/cadd tech,7.0,PA,MORTGAGE,55000.0,Source Verified,14.42,0,,20,100.0,debt_consolidation,individual,18000,60,12.61,405.98,C,Current
associated ,1.0,NY,RENT,55000.0,Source Verified,13.68,0,44.0,17,100.0,credit_card,individual,10000,36,11.98,332.05,B,Current
inventory control specialist,5.0,IL,RENT,33000.0,Not Verified,19.38,0,,9,100.0,debt_consolidation,individual,3200,36,7.34,99.31,A,Current
inventory control,3.0,GA,RENT,60000.0,Not Verified,11.0,0,70.0,13,92.3,debt_consolidation,individual,10000,36,5.32,301.15,A,Current
sr direct supoort professional,4.0,MO,MORTGAGE,48000.0,Source Verified,2.88,0,,26,100.0,house,individual,6000,36,6.07,182.73,A,Current
director of operations,4.0,CA,MORTGAGE,106000.0,Verified,26.25,0,,36,100.0,debt_consolidation,individual,12000,36,12.62,402.14,C,Current
hospitalist,3.0,TX,MORTGAGE,245000.0,Source Verified,24.9,0,68.0,37,100.0,debt_consolidation,individual,40000,60,9.44,838.91,B,Current
teacher,9.0,AR,MORTGAGE,50000.0,Verified,36.75,1,3.0,31,90.3,credit_card,joint,19000,60,19.03,493.19,D,Current
controller,3.0,SC,MORTGAGE,80000.0,Source Verified,28.3,0,35.0,27,96.3,debt_consolidation,individual,28000,60,20.39,747.92,D,Current
deputy,10.0,CA,MORTGAGE,140000.0,Not Verified,13.82,0,,21,100.0,debt_consolidation,individual,15000,60,9.93,318.19,B,Fully Paid
armed protection officer ,1.0,MD,OWN,70000.0,Source Verified,0.0,0,31.0,13,92.3,small_business,individual,2400,36,6.08,73.1,A,Fully Paid
driver,2.0,MD,RENT,45000.0,Source Verified,10.59,0,,9,100.0,debt_consolidation,individual,10000,36,21.45,379.07,D,Current
supplies clerk,10.0,NJ,MORTGAGE,70000.0,Verified,17.06,0,102.0,21,95.2,car,joint,24000,60,15.04,571.47,C,In Grace Period
loan consultant ,2.0,PA,RENT,75000.0,Not Verified,18.53,0,,12,100.0,other,individual,9500,36,10.42,308.42,B,Current
bank coordinator,2.0,CA,RENT,53592.0,Source Verified,7.1,0,,6,100.0,other,individual,30000,36,12.61,1005.2,C,Current
,,MI,MORTGAGE,19000.0,Not Verified,24.79,0,,12,100.0,other,joint,10000,60,18.06,254.27,D,Current
senior recruiter,5.0,MD,RENT,90000.0,Source Verified,15.72,0,,24,100.0,moving,individual,15000,60,11.99,333.6,B,Current
reader advisor,10.0,VA,RENT,77000.0,Source Verified,14.82,0,80.0,29,96.6,debt_consolidation,individual,35000,60,15.05,833.57,C,Current
truck driver,2.0,TX,RENT,42000.0,Source Verified,25.89,0,,11,100.0,credit_card,individual,10000,36,15.05,346.9,C,Current
sales,4.0,TX,MORTGAGE,130000.0,Source Verified,13.51,0,,15,100.0,home_improvement,individual,40000,60,12.62,902.37,C,Current
director of support services,10.0,NC,OWN,76300.0,Not Verified,10.71,0,68.0,30,96.7,debt_consolidation,individual,15000,36,6.72,461.24,A,Current
rn,2.0,FL,MORTGAGE,190000.0,Not Verified,2.68,0,,17,100.0,debt_consolidation,individual,20000,36,6.71,614.9,A,Current
police recruit,0.0,TX,RENT,41000.0,Verified,25.7,0,,23,100.0,debt_consolidation,individual,4500,36,15.05,156.11,C,Current
lead teller,2.0,NE,RENT,30000.0,Not Verified,3.64,0,,9,100.0,car,individual,16000,60,9.93,339.41,B,Current
registered nurse,6.0,NC,MORTGAGE,88000.0,Source Verified,17.24,0,61.0,39,97.4,credit_card,individual,10000,36,10.42,324.65,B,Current
hes advisor ,2.0,TX,MORTGAGE,115000.0,Verified,18.72,0,26.0,21,76.0,debt_consolidation,individual,20000,60,22.91,562.78,E,Current
sr admin assistant,10.0,TX,RENT,95731.0,Not Verified,19.64,0,,37,100.0,debt_consolidation,individual,20600,60,30.79,676.52,G,Current
president,2.0,CA,RENT,127000.0,Source Verified,9.12,1,7.0,11,100.0,major_purchase,individual,35000,60,15.05,833.57,C,Current
hvac technician,10.0,GA,MORTGAGE,75000.0,Source Verified,22.91,0,,27,100.0,debt_consolidation,joint,10000,36,6.07,304.54,A,Current
nurse assistant,5.0,NC,MORTGAGE,70000.0,Not Verified,21.41,0,,21,100.0,debt_consolidation,individual,12000,36,6.07,365.45,A,Current
,,FL,OWN,22000.0,Source Verified,13.05,0,49.0,6,80.0,debt_consolidation,joint,1925,36,17.47,69.09,D,Current
driver,8.0,NJ,MORTGAGE,75000.0,Verified,20.16,0,,39,100.0,house,individual,15000,36,7.34,465.5,A,Current
gourmet food server,10.0,NV,MORTGAGE,73000.0,Verified,39.08,0,,28,100.0,debt_consolidation,individual,20000,36,13.59,679.58,C,Current
,,NV,MORTGAGE,76000.0,Not Verified,14.62,0,,15,100.0,debt_consolidation,individual,6000,36,6.72,184.5,A,Current
program manager,10.0,CO,RENT,188000.0,Not Verified,11.64,0,,26,100.0,debt_consolidation,individual,10000,36,5.31,301.11,A,Current
deputy assessor ,8.0,WV,MORTGAGE,50000.0,Verified,12.15,0,80.0,27,96.2,debt_consolidation,individual,25000,36,9.93,805.86,B,Current
service tech,10.0,MD,OWN,58000.0,Source Verified,12.58,0,43.0,22,86.4,debt_consolidation,individual,10000,36,9.92,322.3,B,Current
senior technically writer,1.0,VA,RENT,105000.0,Not Verified,16.73,0,,6,100.0,debt_consolidation,individual,6000,36,9.93,193.41,B,Current
rn,10.0,VA,MORTGAGE,114000.0,Verified,28.13,1,15.0,28,96.4,credit_card,individual,20000,60,14.07,466.1,C,Current
escrow manager,10.0,CA,MORTGAGE,150000.0,Source Verified,7.89,0,,22,100.0,medical,individual,15000,36,7.97,469.84,A,Current
quality control,0.0,PA,MORTGAGE,69000.0,Not Verified,15.42,0,75.0,37,94.3,debt_consolidation,individual,20000,36,5.31,602.21,A,Current
medical billing account rep,10.0,FL,MORTGAGE,30000.0,Not Verified,32.4,0,27.0,27,93.0,debt_consolidation,individual,10500,60,9.93,222.74,B,Current
truck driver,5.0,IL,MORTGAGE,60000.0,Source Verified,17.28,0,,16,100.0,credit_card,individual,11400,60,14.08,265.74,C,Current
general manager,5.0,NH,MORTGAGE,74000.0,Not Verified,32.06,0,,15,100.0,car,individual,5500,36,12.61,184.29,C,Current
bartender,0.0,UT,RENT,25000.0,Source Verified,3.7,1,14.0,6,66.7,debt_consolidation,individual,5000,36,12.62,167.56,C,Current
,,DE,OWN,32000.0,Source Verified,22.09,0,34.0,13,76.9,other,individual,9600,36,17.47,344.52,D,Current
interpreter/translator/school enrolment ,0.0,MA,RENT,31000.0,Source Verified,16.26,0,56.0,32,100.0,other,individual,15000,36,12.62,502.67,C,Current
accounts receivable manager,3.0,NJ,RENT,64000.0,Source Verified,8.72,0,,5,100.0,debt_consolidation,individual,10000,36,6.71,307.45,A,Current
asst to the director of theatre,3.0,KY,RENT,24000.0,Source Verified,16.3,0,,11,100.0,major_purchase,individual,10450,60,19.42,273.5,D,Current
rn,2.0,NC,MORTGAGE,77000.0,Source Verified,16.04,0,,23,100.0,credit_card,individual,7200,36,12.62,241.29,C,Current
warehouse,10.0,FL,MORTGAGE,31000.0,Not Verified,28.42,0,,15,100.0,debt_consolidation,joint,35000,60,14.08,815.85,C,Current
,,OR,RENT,13930.0,Verified,21.94,0,,11,100.0,debt_consolidation,individual,4200,36,10.91,137.33,B,Current
operations manager,0.0,OH,RENT,60000.0,Verified,19.22,0,,23,100.0,other,individual,2400,36,17.47,86.13,D,Current
administrative assistant,9.0,TX,MORTGAGE,41787.0,Verified,37.74,0,,32,100.0,credit_card,individual,12800,36,18.06,463.14,D,Current
composite tehnician,4.0,CA,MORTGAGE,45000.0,Verified,15.44,0,,31,100.0,other,joint,8000,36,16.02,281.34,C,Current
pta,0.0,OK,MORTGAGE,77000.0,Verified,18.39,0,37.0,11,90.0,debt_consolidation,individual,30000,36,19.03,1100.14,D,Current
service director,1.0,PA,MORTGAGE,72000.0,Source Verified,27.23,0,36.0,21,95.2,debt_consolidation,individual,7000,36,12.62,234.58,C,Current
it support,8.0,TX,MORTGAGE,165000.0,Source Verified,11.14,0,,24,100.0,other,individual,25000,36,6.07,761.35,A,Current
senior accounts payable clerk,10.0,FL,MORTGAGE,43000.0,Source Verified,1.56,0,,30,100.0,home_improvement,individual,40000,60,9.43,838.71,B,Current
master driver,10.0,VA,MORTGAGE,90000.0,Verified,17.44,0,,32,100.0,debt_consolidation,individual,24000,60,10.42,514.91,B,Current
teacher,10.0,SD,OWN,95000.0,Not Verified,11.45,0,,40,100.0,debt_consolidation,individual,5000,36,7.96,156.59,A,Current
physician assistant,10.0,MO,MORTGAGE,152000.0,Not Verified,21.09,0,48.0,44,97.7,small_business,individual,40000,60,13.59,922.25,C,Current
credit analyst,2.0,IL,MORTGAGE,49500.0,Source Verified,34.86,0,,35,100.0,credit_card,individual,15000,60,15.04,357.17,C,Current
rca,5.0,TX,OWN,32000.0,Source Verified,13.77,0,36.0,21,76.2,home_improvement,individual,5000,36,12.61,167.54,C,Current
cabinet maker/installer,8.0,FL,RENT,78000.0,Source Verified,9.61,0,58.0,21,68.4,credit_card,individual,7000,36,7.96,219.23,A,Current
benefits representative,2.0,AZ,RENT,52000.0,Source Verified,24.39,0,,23,100.0,debt_consolidation,individual,17450,60,13.58,402.25,C,Current
mechanic,10.0,NY,MORTGAGE,147000.0,Source Verified,5.16,0,56.0,11,81.8,debt_consolidation,individual,30000,60,16.01,729.71,C,Current
superintendent -customer operations,10.0,NJ,OWN,140000.0,Verified,28.53,0,,40,100.0,debt_consolidation,individual,15000,36,22.91,579.95,E,Current
teller,5.0,IL,RENT,50000.0,Not Verified,20.74,0,,39,100.0,debt_consolidation,individual,20000,36,7.97,626.46,A,Current
,,MN,RENT,55000.0,Not Verified,12.22,4,19.0,22,85.7,debt_consolidation,individual,15000,60,18.06,381.4,D,Current
territory manager,3.0,TX,MORTGAGE,190000.0,Not Verified,15.84,0,,15,100.0,debt_consolidation,individual,12000,36,6.08,365.5,A,Current
sr engineer,10.0,CO,RENT,126000.0,Source Verified,3.82,0,,9,100.0,debt_consolidation,individual,16500,36,5.32,496.9,A,Current
office manager,10.0,MA,MORTGAGE,95000.0,Not Verified,15.48,0,,18,100.0,debt_consolidation,individual,19200,36,5.32,578.21,A,Current
petroleum operator ,10.0,NJ,MORTGAGE,80000.0,Source Verified,14.16,0,,19,100.0,major_purchase,individual,7050,36,9.93,227.26,B,Current
owner,10.0,MN,MORTGAGE,23000.0,Verified,49.58,0,59.0,31,96.0,credit_card,joint,15000,60,20.0,397.41,D,Current
project manager,10.0,NY,OWN,66000.0,Not Verified,13.27,0,50.0,11,81.8,debt_consolidation,joint,11200,36,15.05,388.53,C,Current
driver/crane opeator,5.0,IL,RENT,60000.0,Source Verified,16.72,0,,11,100.0,debt_consolidation,individual,8000,36,7.96,250.55,A,Current
audit manager,0.0,TX,MORTGAGE,101000.0,Source Verified,18.5,1,5.0,41,95.1,debt_consolidation,individual,20000,60,26.77,607.97,E,Current
cfo,4.0,TN,MORTGAGE,113000.0,Not Verified,15.28,0,,29,100.0,home_improvement,individual,10800,60,9.44,226.51,B,Current
qa auditor,10.0,NH,MORTGAGE,61000.0,Not Verified,19.05,0,58.0,41,87.8,debt_consolidation,individual,7200,36,13.59,244.65,C,Current
line cook,1.0,SC,RENT,28000.0,Source Verified,26.96,0,,11,100.0,debt_consolidation,individual,12000,36,15.04,416.22,C,Current
supervisor of technical trades,2.0,NY,MORTGAGE,75000.0,Not Verified,21.63,0,,27,100.0,credit_card,individual,20000,36,5.31,602.21,A,Current
crew chief ,2.0,FL,MORTGAGE,44000.0,Verified,24.77,0,,16,100.0,home_improvement,individual,7200,36,14.08,246.36,C,Fully Paid
owner,2.0,TX,RENT,60000.0,Source Verified,18.36,0,,15,100.0,small_business,individual,6000,36,13.59,203.88,C,Current
bus operator ,10.0,TX,RENT,47000.0,Not Verified,18.92,0,,22,100.0,debt_consolidation,individual,5000,36,7.97,156.62,A,Current
web developer,2.0,FL,RENT,58000.0,Source Verified,14.66,0,,15,100.0,debt_consolidation,individual,16000,60,9.93,339.41,B,Current
educator,10.0,AL,MORTGAGE,55000.0,Source Verified,29.58,0,62.0,30,93.3,debt_consolidation,individual,15600,36,6.08,475.15,A,Current
,,WY,RENT,31812.0,Not Verified,37.83,0,,16,100.0,debt_consolidation,individual,10000,60,21.85,275.34,D,Current
construction manager ,5.0,CA,RENT,95000.0,Source Verified,13.49,1,14.0,18,83.3,moving,individual,10000,36,10.42,324.65,B,Current
education specialist,0.0,PA,MORTGAGE,65000.0,Source Verified,29.36,7,15.0,14,50.0,debt_consolidation,individual,30000,36,17.47,1076.62,D,Current
ceo,4.0,CA,RENT,250000.0,Source Verified,1.12,0,75.0,12,100.0,debt_consolidation,individual,30000,36,10.9,980.75,B,Current
account administrator,10.0,CO,MORTGAGE,55200.0,Not Verified,18.67,0,,25,100.0,credit_card,individual,16000,36,6.08,487.34,A,Current
driver,10.0,NY,RENT,42000.0,Not Verified,25.23,1,22.0,23,95.7,credit_card,individual,20000,36,12.61,670.13,C,Current
,,MO,MORTGAGE,30784.0,Verified,27.56,0,47.0,20,85.0,debt_consolidation,joint,6275,36,23.87,245.76,E,Current
manager,4.0,FL,OWN,60000.0,Verified,26.88,0,,55,100.0,credit_card,individual,15000,36,18.06,542.74,D,Current
school administrator,10.0,MO,MORTGAGE,120000.0,Source Verified,21.45,0,,34,100.0,debt_consolidation,individual,16000,60,13.59,368.9,C,Current
qc lead,4.0,CA,MORTGAGE,63000.0,Source Verified,15.3,0,78.0,22,100.0,debt_consolidation,individual,10000,36,16.02,351.67,C,In Grace Period
planning supervisor ,10.0,NY,MORTGAGE,155000.0,Verified,16.13,0,,33,100.0,major_purchase,individual,25000,36,9.93,805.86,B,Current
pipefitter,1.0,MA,RENT,40000.0,Source Verified,2.91,0,,6,100.0,car,individual,12000,36,9.92,386.76,B,Current
owner,3.0,TN,RENT,42500.0,Not Verified,18.55,0,,7,100.0,credit_card,individual,6000,36,7.35,186.23,A,Current
senior engagement lead,10.0,NJ,OWN,230000.0,Source Verified,9.19,0,38.0,20,72.2,debt_consolidation,individual,12000,36,10.91,392.36,B,Current
attorney,4.0,LA,MORTGAGE,75000.0,Source Verified,8.46,0,,24,100.0,house,individual,10000,60,13.59,230.57,C,Current
bank teller,0.0,OH,MORTGAGE,24000.0,Source Verified,9.8,0,,7,100.0,debt_consolidation,joint,20000,36,14.07,684.24,C,Current
field service engineer ,1.0,MA,RENT,110000.0,Not Verified,11.62,3,19.0,15,90.9,credit_card,individual,8500,36,7.34,263.78,A,Current
automotive service lane manager,10.0,WV,OWN,172000.0,Verified,24.31,0,,32,100.0,home_improvement,individual,36000,60,15.05,857.39,C,Current
military officer captain,10.0,GA,RENT,145000.0,Verified,14.66,0,38.0,29,72.4,debt_consolidation,joint,40000,36,6.72,1229.97,A,Current
cpa,4.0,CA,MORTGAGE,85000.0,Source Verified,22.73,0,,16,100.0,debt_consolidation,individual,9000,36,16.01,316.46,C,Current
home equity specialist ,10.0,PA,RENT,42000.0,Not Verified,9.91,0,35.0,21,95.2,debt_consolidation,individual,7200,36,7.34,223.44,A,Current
general manager,3.0,WI,RENT,36000.0,Not Verified,29.47,0,,11,100.0,debt_consolidation,individual,6100,36,23.88,238.94,E,Current
,,TX,OWN,17000.0,Not Verified,27.68,0,,17,100.0,other,joint,2250,36,15.05,78.06,C,Current
accounting supervisor,10.0,IN,OWN,37000.0,Not Verified,4.25,0,,12,100.0,debt_consolidation,individual,10000,36,6.72,307.5,A,Current
video management,1.0,CA,OWN,45000.0,Source Verified,16.97,0,,11,100.0,debt_consolidation,individual,25000,36,21.45,947.67,D,Current
claims adjudicator,10.0,OH,MORTGAGE,40000.0,Verified,19.44,0,,26,100.0,debt_consolidation,individual,16000,60,25.82,477.35,E,Fully Paid
head of product design,2.0,CA,RENT,182000.0,Not Verified,6.06,1,10.0,27,85.2,credit_card,individual,32000,60,14.08,745.92,C,Current
project manager,3.0,CA,RENT,51000.0,Verified,17.25,0,,12,100.0,credit_card,individual,12000,36,15.05,416.28,C,Fully Paid
sales,10.0,MI,RENT,45000.0,Not Verified,23.33,0,,38,100.0,debt_consolidation,individual,10000,36,9.44,320.05,B,Current
import booking and pricing rep,2.0,NY,MORTGAGE,31200.0,Verified,33.19,0,53.0,18,58.8,debt_consolidation,individual,2200,36,17.09,78.54,D,Current
receptionist,1.0,IL,RENT,27278.0,Not Verified,19.93,0,,13,100.0,credit_card,individual,4800,36,16.01,168.78,C,Current
business analysis/csu manager,10.0,GA,MORTGAGE,75000.0,Source Verified,15.31,0,,32,100.0,home_improvement,individual,35000,60,10.9,759.25,B,Current
supervisor,5.0,KS,RENT,100000.0,Not Verified,22.88,0,49.0,19,89.5,credit_card,individual,35000,36,12.62,1172.9,C,Current
,,NY,OWN,42000.0,Verified,14.4,0,,5,100.0,other,individual,10000,60,21.45,273.08,D,Current
clerk,10.0,NY,MORTGAGE,66000.0,Source Verified,6.11,0,,6,100.0,major_purchase,joint,2400,36,10.41,77.91,B,Current
formulation scientist,2.0,OH,RENT,89000.0,Not Verified,18.65,0,24.0,20,95.0,credit_card,individual,19600,36,5.32,590.25,A,Current
documentation supervisor,3.0,MA,MORTGAGE,50000.0,Verified,27.08,0,39.0,20,95.0,debt_consolidation,individual,26000,60,21.85,715.88,D,Current
director of operations,6.0,MD,MORTGAGE,99000.0,Not Verified,11.73,0,,22,100.0,home_improvement,individual,12000,60,18.06,305.12,D,Current
supply chain manager,0.0,AR,RENT,150000.0,Source Verified,7.82,0,,62,100.0,medical,individual,13000,36,5.32,391.5,A,Current
executive assistant,3.0,NY,RENT,57000.0,Source Verified,18.88,0,24.0,35,97.1,house,individual,11750,60,17.09,292.59,D,Current
shop foreman,10.0,NY,MORTGAGE,99000.0,Source Verified,20.78,0,,28,100.0,debt_consolidation,individual,30000,60,9.93,636.38,B,Current
research technician,6.0,MS,RENT,44000.0,Source Verified,19.42,0,,12,100.0,credit_card,individual,7000,36,6.08,213.21,A,Current
,,AZ,RENT,0.0,Not Verified,,2,18.0,15,86.7,debt_consolidation,joint,20000,60,17.09,498.02,D,Current
senior data engineer,4.0,VA,RENT,97000.0,Not Verified,0.33,0,62.0,11,81.8,other,individual,35000,36,16.01,1230.67,C,Current
mechanic/owner,10.0,IL,MORTGAGE,30000.0,Not Verified,8.56,0,,8,100.0,credit_card,individual,10000,60,13.59,230.57,C,Current
,,TN,OWN,50000.0,Source Verified,14.16,0,,13,100.0,other,individual,20000,36,9.92,644.6,B,Current
commercial insurance broker,5.0,CA,MORTGAGE,115000.0,Source Verified,12.89,0,26.0,32,64.5,small_business,individual,40000,60,15.04,952.44,C,Current
field operations supervisor,2.0,IL,MORTGAGE,80000.0,Not Verified,9.92,0,45.0,29,92.9,credit_card,individual,12000,36,6.71,368.94,A,Current
server,0.0,OR,RENT,15000.0,Source Verified,7.2,0,,4,100.0,debt_consolidation,joint,16000,36,17.47,574.2,D,Current
hvac mechanic,7.0,FL,MORTGAGE,60000.0,Source Verified,27.06,0,77.0,23,95.7,debt_consolidation,individual,10000,36,11.99,332.1,B,Current
engineer assistant ,0.0,CA,RENT,50000.0,Source Verified,13.3,4,12.0,21,68.4,credit_card,individual,10000,36,13.59,339.79,C,Current
senior quality analyst,9.0,IN,MORTGAGE,91000.0,Not Verified,24.99,0,,44,100.0,debt_consolidation,individual,15000,36,7.35,465.57,A,Current
production,10.0,MN,MORTGAGE,75000.0,Source Verified,0.54,0,32.0,17,70.6,major_purchase,individual,24000,60,10.42,514.91,B,Current
it director,10.0,CA,MORTGAGE,182000.0,Source Verified,16.72,0,25.0,14,84.6,debt_consolidation,individual,40000,36,7.97,1252.91,A,Current
,,TX,MORTGAGE,65000.0,Not Verified,10.62,0,29.0,28,92.6,debt_consolidation,individual,25000,60,9.92,530.2,B,Current
sales manager,4.0,NC,MORTGAGE,121500.0,Verified,39.34,0,,15,100.0,debt_consolidation,joint,32175,36,12.61,1078.07,C,Current
owner,4.0,MS,MORTGAGE,170000.0,Not Verified,14.23,0,,36,100.0,debt_consolidation,individual,25000,60,9.93,530.32,B,Current
journeyman union plumber,2.0,NY,RENT,70000.0,Not Verified,21.79,0,,17,100.0,debt_consolidation,individual,24000,60,14.07,559.31,C,Current
service technician ,5.0,TX,OWN,60000.0,Source Verified,5.96,0,32.0,12,75.0,credit_card,individual,15000,60,14.08,349.65,C,Current
executive director,1.0,NY,MORTGAGE,100000.0,Source Verified,22.49,0,45.0,39,92.1,other,individual,36000,60,12.62,812.13,C,Current
management,10.0,OR,RENT,68000.0,Source Verified,17.28,0,,38,100.0,debt_consolidation,individual,20000,60,16.02,486.58,C,Current
sales,10.0,TX,MORTGAGE,65000.0,Not Verified,29.38,0,,26,92.3,debt_consolidation,joint,30000,60,14.07,699.14,C,Current
customs specialist,0.0,NY,MORTGAGE,42500.0,Source Verified,24.57,0,,21,100.0,debt_consolidation,individual,11000,36,18.06,398.01,D,Current
personal banker,2.0,CA,RENT,52000.0,Not Verified,21.3,0,75.0,19,94.7,credit_card,individual,15000,60,14.08,349.65,C,Current
assistant controller ,2.0,GA,RENT,68250.0,Source Verified,8.63,0,70.0,39,100.0,credit_card,individual,13500,60,16.02,328.44,C,Current
physical therapist assistant ,3.0,AL,MORTGAGE,55000.0,Source Verified,8.66,0,,8,100.0,debt_consolidation,individual,10000,60,11.99,222.4,B,Current
office manager/ bookkeeper,10.0,FL,OWN,85000.0,Not Verified,26.49,0,,28,100.0,credit_card,individual,25000,36,6.72,768.74,A,Fully Paid
pilot,10.0,MI,MORTGAGE,318000.0,Source Verified,8.37,0,,8,100.0,debt_consolidation,individual,25000,60,19.03,648.93,D,Fully Paid
service technician ,7.0,CO,OWN,95000.0,Source Verified,11.33,0,,9,100.0,debt_consolidation,individual,28000,36,6.71,860.86,A,Current
physician extender ,2.0,SC,RENT,71000.0,Not Verified,15.48,0,,19,100.0,credit_card,individual,10000,36,6.07,304.54,A,Current
yard specialist,3.0,NC,MORTGAGE,41200.0,Source Verified,16.95,0,55.0,20,85.0,other,individual,10000,36,7.35,310.38,A,Current
,,NC,RENT,44088.0,Not Verified,27.93,0,,32,100.0,debt_consolidation,individual,10000,36,13.59,339.79,C,Current
bartender,0.0,WA,RENT,15000.0,Source Verified,5.87,0,,23,100.0,debt_consolidation,individual,2500,36,13.59,84.95,C,Current
lease operator,0.0,LA,OWN,95000.0,Not Verified,12.42,0,,20,100.0,other,individual,6500,36,5.31,195.72,A,Current
dean of humanities and the arts,9.0,NE,RENT,88000.0,Source Verified,13.04,0,58.0,41,100.0,debt_consolidation,individual,10000,36,7.97,313.23,A,Fully Paid
rn,10.0,CO,MORTGAGE,65000.0,Source Verified,40.15,0,,29,100.0,debt_consolidation,joint,14500,36,7.35,450.05,A,Current
instructor,6.0,CA,RENT,80000.0,Verified,11.88,0,,11,100.0,house,individual,40000,36,11.99,1328.39,B,Current
manager,5.0,FL,RENT,45000.0,Not Verified,25.41,0,34.0,20,95.0,other,individual,16000,36,16.02,562.68,C,Current
sales,10.0,CA,RENT,150000.0,Source Verified,9.33,0,,13,100.0,debt_consolidation,joint,14000,36,9.93,451.29,B,Current
finance manager,1.0,FL,RENT,69000.0,Not Verified,27.74,0,63.0,23,95.7,debt_consolidation,individual,10000,36,19.42,368.69,D,Fully Paid
crisis counselor,10.0,KY,MORTGAGE,35000.0,Not Verified,23.01,0,,33,100.0,debt_consolidation,individual,2400,36,7.96,75.17,A,Current
senior mechanical assembler,3.0,CA,MORTGAGE,39000.0,Source Verified,10.83,0,81.0,13,92.3,debt_consolidation,joint,17000,36,13.59,577.65,C,Current
maintenance director,8.0,AR,OWN,90000.0,Verified,39.63,0,,18,100.0,credit_card,joint,24000,36,12.61,804.16,C,Current
